undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
0.495,LSO,SubSaharian,1539.79,,7.400000095367432,4.053547382354736,,35.21265029907227
0.91100001,LIE,WesternDem,102243.52,,,,2.556040048599243,91.53871917724608
0.63700002,GTM,LatAm,4438.0,,6.699999809265137,2.693367958068848,2.941740036010742,46.71841812133789
0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.5,2.355769157409668,,
0.62300003,HND,LatAm,3303.1399,,6.900000095367432,3.180157661437988,5.86775016784668,49.25936126708984
0.61500001,IND,SouthAsia,4256.79,,5.5,4.156626701354981,3.842360019683838,61.75524139404297
0.64499998,MAR,NorthAfrica,3999.5601,33.17900085449219,7.599999904632568,3.170891284942627,,56.14244842529297
0.70099998,MDA,EastEurope,4207.8701,3.555000066757202,6.400000095367432,3.163065433502197,7.467840194702148,76.86421203613281
0.92299998,NLD,WesternDem,42258.352,16.86499977111816,2.599999904632568,5.304530620574951,5.529379844665527,93.88201904296876
0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,6.300000190734863,4.464125156402588,3.278609991073608,75.01837158203125
0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,6.199999809265137,3.012430906295776,2.954190015792847,80.731201171875
0.48800001,UGA,SubSaharian,1343.45,37.59999847412109,7.300000190734863,3.571631669998169,2.213870048522949,
0.72000003,VCT,Caribbean,7454.8799,0.1099999994039536,,,,
0.47,DJI,SubSaharian,2685.5,,5.800000190734863,,,
0.89200002,AUT,WesternDem,38868.039,8.543999671936035,1.5,4.492074966430664,5.499549865722656,
0.82800001,LVA,EastEurope,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125
0.625,TJK,EastEurope,3592.6499,8.131999969482422,6.300000190734863,3.840425491333008,5.232150077819824,83.22482299804688
0.514,CMR,SubSaharian,2658.51,,7.5,3.810850858688355,3.029900074005127,43.13555908203125
0.69199997,PRY,LatAm,4812.9199,6.559000015258789,5.199999809265137,2.324439764022827,4.955399990081787,66.45951843261719
0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,4.599999904632568,4.417221069335938,3.353189945220947,87.03231811523438
0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.199999809265137,3.930860996246338,4.612500190734863,96.36762237548828
0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672
0.84500003,CHL,LatAm,15519.08,17.81900024414063,3.200000047683716,3.69163703918457,4.750120162963867,88.29785919189453
0.73400003,CHN,EastAsia,9283.3799,,4.599999904632568,4.028250217437744,,
,TWN,EastAsia,33965.871,23.43400001525879,,3.908831357955933,,
0.83399999,HUN,EastEurope,18310.811,9.876999855041504,3.299999952316284,3.28902006149292,4.659349918365479,92.19537353515624
0.57499999,GHA,SubSaharian,2584.6001,,7.599999904632568,3.838903903961182,6.178549766540527,51.05852890014648
0.78500003,PAN,LatAm,15137.04,3.788000106811523,4.0,3.523098230361939,3.187720060348511,77.83374786376953
0.49000001,HTI,LatAm,1024.9399,,9.300000190734863,2.325876951217651,,
0.479,AFG,SouthAsia,1282.64,29.82500076293945,8.100000381469727,,3.780280113220215,48.75032043457031
